,1,2,4,Cost,RT
2041,1472.0,3008.0,1664.0,62.715555555555554,2062.2601111111107
2042,1472.0,3008.0,1856.0,65.83555555555556,2030.281
2043,1472.0,3008.0,2048.0,68.96555555555557,2000.6373333333331
2044,1472.0,3008.0,2240.0,68.04333333333335,1955.8564444444444
2045,1472.0,3008.0,2432.0,75.21555555555555,1972.7908888888887
2046,1472.0,3008.0,2624.0,78.34555555555556,1971.5412222222224
2047,1472.0,3008.0,2816.0,86.55888888888887,2110.525888888889
2048,1472.0,3008.0,3008.0,79.15444444444445,1960.071777777778
2049,1664.0,128.0,128.0,45.777777777777786,11036.464444444444
2050,1664.0,128.0,320.0,47.65777777777778,7212.846333333334
2051,1664.0,128.0,512.0,49.98222222222223,6317.997888888889
2052,1664.0,128.0,704.0,51.82222222222222,5860.839666666666
2053,1664.0,128.0,896.0,52.52333333333334,5555.255
2054,1664.0,128.0,1088.0,55.062222222222225,5446.0997777777775
2055,1664.0,128.0,1280.0,54.60444444444445,5251.162555555555
2056,1664.0,128.0,1472.0,58.07111111111112,5245.77111111111
2057,1664.0,128.0,1664.0,58.53888888888889,5154.795444444444
2058,1664.0,128.0,1856.0,61.658888888888896,5122.816333333333
2059,1664.0,128.0,2048.0,64.7888888888889,5093.172666666666
2060,1664.0,128.0,2240.0,63.86666666666668,5048.391777777778
2061,1664.0,128.0,2432.0,71.03888888888889,5065.326222222222
2062,1664.0,128.0,2624.0,74.1688888888889,5064.076555555555
2063,1664.0,128.0,2816.0,82.38222222222221,5203.061222222222
2064,1664.0,128.0,3008.0,74.97777777777777,5052.607111111111
2065,1664.0,320.0,128.0,46.022222222222226,9094.806222222223
2066,1664.0,320.0,320.0,47.90222222222222,5271.188111111112
2067,1664.0,320.0,512.0,50.226666666666674,4376.339666666667
2068,1664.0,320.0,704.0,52.06666666666667,3919.181444444444
2069,1664.0,320.0,896.0,52.76777777777778,3613.5967777777773
2070,1664.0,320.0,1088.0,55.30666666666667,3504.4415555555556
2071,1664.0,320.0,1280.0,54.84888888888889,3309.504333333333
2072,1664.0,320.0,1472.0,58.31555555555556,3304.112888888889
2073,1664.0,320.0,1664.0,58.78333333333334,3213.137222222222
2074,1664.0,320.0,1856.0,61.90333333333334,3181.158111111111
2075,1664.0,320.0,2048.0,65.03333333333333,3151.5144444444445
2076,1664.0,320.0,2240.0,64.11111111111111,3106.7335555555555
2077,1664.0,320.0,2432.0,71.28333333333333,3123.668
2078,1664.0,320.0,2624.0,74.41333333333333,3122.4183333333335
2079,1664.0,320.0,2816.0,82.62666666666668,3261.403
2080,1664.0,320.0,3008.0,75.22222222222223,3110.948888888889
2081,1664.0,512.0,128.0,46.488888888888894,8594.44788888889
2082,1664.0,512.0,320.0,48.3688888888889,4770.82977777778
2083,1664.0,512.0,512.0,50.693333333333335,3875.9813333333336
2084,1664.0,512.0,704.0,52.53333333333334,3418.8231111111104
2085,1664.0,512.0,896.0,53.23444444444445,3113.2384444444447
2086,1664.0,512.0,1088.0,55.77333333333333,3004.0832222222225
2087,1664.0,512.0,1280.0,55.31555555555556,2809.146
2088,1664.0,512.0,1472.0,58.782222222222224,2803.7545555555557
2089,1664.0,512.0,1664.0,59.25000000000001,2712.778888888889
2090,1664.0,512.0,1856.0,62.37,2680.7997777777778
2091,1664.0,512.0,2048.0,65.5,2651.1561111111114
2092,1664.0,512.0,2240.0,64.57777777777778,2606.3752222222224
2093,1664.0,512.0,2432.0,71.75000000000001,2623.3096666666665
2094,1664.0,512.0,2624.0,74.88,2622.0600000000004
2095,1664.0,512.0,2816.0,83.09333333333333,2761.044666666667
2096,1664.0,512.0,3008.0,75.6888888888889,2610.590555555556
2097,1664.0,704.0,128.0,46.71555555555556,8383.653666666667
2098,1664.0,704.0,320.0,48.595555555555556,4560.035555555557
2099,1664.0,704.0,512.0,50.92000000000001,3665.187111111111
2100,1664.0,704.0,704.0,52.760000000000005,3208.0288888888886
2101,1664.0,704.0,896.0,53.461111111111116,2902.444222222222
2102,1664.0,704.0,1088.0,56.00000000000001,2793.289
2103,1664.0,704.0,1280.0,55.54222222222222,2598.3517777777774
2104,1664.0,704.0,1472.0,59.008888888888904,2592.960333333333
2105,1664.0,704.0,1664.0,59.476666666666674,2501.9846666666663
2106,1664.0,704.0,1856.0,62.59666666666668,2470.0055555555555
2107,1664.0,704.0,2048.0,65.72666666666667,2440.361888888889
2108,1664.0,704.0,2240.0,64.80444444444444,2395.581
2109,1664.0,704.0,2432.0,71.97666666666667,2412.5154444444443
2110,1664.0,704.0,2624.0,75.10666666666667,2411.265777777778
2111,1664.0,704.0,2816.0,83.32000000000001,2550.2504444444444
2112,1664.0,704.0,3008.0,75.91555555555556,2399.7963333333337
2113,1664.0,896.0,128.0,45.56,8259.597555555556
2114,1664.0,896.0,320.0,47.440000000000005,4435.979444444446
2115,1664.0,896.0,512.0,49.76444444444445,3541.1310000000003
2116,1664.0,896.0,704.0,51.604444444444454,3083.9727777777775
2117,1664.0,896.0,896.0,52.30555555555556,2778.388111111111
2118,1664.0,896.0,1088.0,54.84444444444445,2669.232888888889
2119,1664.0,896.0,1280.0,54.38666666666667,2474.2956666666664
2120,1664.0,896.0,1472.0,57.85333333333334,2468.904222222222
2121,1664.0,896.0,1664.0,58.321111111111115,2377.9285555555552
2122,1664.0,896.0,1856.0,61.44111111111111,2345.9494444444445
2123,1664.0,896.0,2048.0,64.57111111111112,2316.305777777778
2124,1664.0,896.0,2240.0,63.6488888888889,2271.5248888888887
2125,1664.0,896.0,2432.0,70.82111111111111,2288.4593333333332
2126,1664.0,896.0,2624.0,73.95111111111112,2287.209666666667
2127,1664.0,896.0,2816.0,82.16444444444444,2426.1943333333334
2128,1664.0,896.0,3008.0,74.75999999999999,2275.740222222222
2129,1664.0,1088.0,128.0,46.946666666666665,8174.662222222224
2130,1664.0,1088.0,320.0,48.82666666666667,4351.044111111113
2131,1664.0,1088.0,512.0,51.15111111111111,3456.1956666666665
2132,1664.0,1088.0,704.0,52.99111111111111,2999.0374444444437
2133,1664.0,1088.0,896.0,53.69222222222223,2693.452777777778
2134,1664.0,1088.0,1088.0,56.23111111111111,2584.2975555555554
2135,1664.0,1088.0,1280.0,55.77333333333333,2389.360333333333
2136,1664.0,1088.0,1472.0,59.24000000000001,2383.9688888888886
2137,1664.0,1088.0,1664.0,59.70777777777778,2292.993222222222
2138,1664.0,1088.0,1856.0,62.82777777777778,2261.014111111111
2139,1664.0,1088.0,2048.0,65.95777777777779,2231.3704444444443
2140,1664.0,1088.0,2240.0,65.03555555555558,2186.5895555555558
2141,1664.0,1088.0,2432.0,72.20777777777778,2203.524
2142,1664.0,1088.0,2624.0,75.33777777777779,2202.2743333333333
2143,1664.0,1088.0,2816.0,83.5511111111111,2341.259
2144,1664.0,1088.0,3008.0,76.14666666666666,2190.8048888888893
2145,1664.0,1280.0,128.0,46.022222222222226,8117.339222222224
2146,1664.0,1280.0,320.0,47.90222222222222,4293.721111111112
2147,1664.0,1280.0,512.0,50.226666666666674,3398.8726666666666
2148,1664.0,1280.0,704.0,52.06666666666667,2941.714444444444
2149,1664.0,1280.0,896.0,52.76777777777778,2636.1297777777777
2150,1664.0,1280.0,1088.0,55.30666666666667,2526.974555555556
2151,1664.0,1280.0,1280.0,54.84888888888889,2332.037333333333
2152,1664.0,1280.0,1472.0,58.31555555555556,2326.6458888888887
2153,1664.0,1280.0,1664.0,58.78333333333334,2235.6702222222216
2154,1664.0,1280.0,1856.0,61.90333333333334,2203.6911111111112
2155,1664.0,1280.0,2048.0,65.03333333333333,2174.0474444444444
2156,1664.0,1280.0,2240.0,64.11111111111111,2129.2665555555554
2157,1664.0,1280.0,2432.0,71.28333333333333,2146.2009999999996
2158,1664.0,1280.0,2624.0,74.41333333333333,2144.951333333334
2159,1664.0,1280.0,2816.0,82.62666666666668,2283.936
2160,1664.0,1280.0,3008.0,75.22222222222223,2133.481888888889
2161,1664.0,1472.0,128.0,47.062222222222225,8085.9248888888915
2162,1664.0,1472.0,320.0,48.94222222222223,4262.306777777779
2163,1664.0,1472.0,512.0,51.266666666666666,3367.4583333333335
2164,1664.0,1472.0,704.0,53.10666666666667,2910.3001111111107
2165,1664.0,1472.0,896.0,53.80777777777778,2604.7154444444445
2166,1664.0,1472.0,1088.0,56.346666666666664,2495.560222222223
2167,1664.0,1472.0,1280.0,55.88888888888889,2300.623
2168,1664.0,1472.0,1472.0,59.355555555555554,2295.2315555555556
2169,1664.0,1472.0,1664.0,59.82333333333333,2204.2558888888884
2170,1664.0,1472.0,1856.0,62.94333333333333,2172.2767777777776
2171,1664.0,1472.0,2048.0,66.07333333333334,2142.6331111111112
2172,1664.0,1472.0,2240.0,65.15111111111112,2097.8522222222223
2173,1664.0,1472.0,2432.0,72.32333333333332,2114.7866666666664
2174,1664.0,1472.0,2624.0,75.45333333333333,2113.5370000000003
2175,1664.0,1472.0,2816.0,83.66666666666666,2252.521666666667
2176,1664.0,1472.0,3008.0,76.26222222222222,2102.067555555556
2177,1664.0,1664.0,128.0,48.10555555555556,8063.211555555557
2178,1664.0,1664.0,320.0,49.98555555555556,4239.593444444446
2179,1664.0,1664.0,512.0,52.31,3344.7450000000003
2180,1664.0,1664.0,704.0,54.15,2887.586777777777
2181,1664.0,1664.0,896.0,54.851111111111116,2582.0021111111114
2182,1664.0,1664.0,1088.0,57.39000000000001,2472.846888888889
2183,1664.0,1664.0,1280.0,56.93222222222222,2277.9096666666665
2184,1664.0,1664.0,1472.0,60.3988888888889,2272.518222222222
2185,1664.0,1664.0,1664.0,60.866666666666674,2181.5425555555553
2186,1664.0,1664.0,1856.0,63.98666666666667,2149.5634444444445
2187,1664.0,1664.0,2048.0,67.11666666666667,2119.9197777777777
2188,1664.0,1664.0,2240.0,66.19444444444446,2075.138888888889
2189,1664.0,1664.0,2432.0,73.36666666666667,2092.0733333333333
2190,1664.0,1664.0,2624.0,76.49666666666667,2090.823666666667
2191,1664.0,1664.0,2816.0,84.71,2229.808333333334
2192,1664.0,1664.0,3008.0,77.30555555555556,2079.3542222222227
2193,1664.0,1856.0,128.0,49.14555555555555,8043.087555555557
2194,1664.0,1856.0,320.0,51.025555555555556,4219.469444444445
2195,1664.0,1856.0,512.0,53.35,3324.621
2196,1664.0,1856.0,704.0,55.190000000000005,2867.4627777777773
2197,1664.0,1856.0,896.0,55.891111111111115,2561.878111111111
2198,1664.0,1856.0,1088.0,58.43,2452.722888888889
2199,1664.0,1856.0,1280.0,57.97222222222222,2257.7856666666667
2200,1664.0,1856.0,1472.0,61.43888888888889,2252.394222222222
2201,1664.0,1856.0,1664.0,61.906666666666666,2161.418555555555
2202,1664.0,1856.0,1856.0,65.02666666666667,2129.4394444444442
2203,1664.0,1856.0,2048.0,68.15666666666667,2099.795777777778
2204,1664.0,1856.0,2240.0,67.23444444444445,2055.014888888889
2205,1664.0,1856.0,2432.0,74.40666666666668,2071.949333333333
2206,1664.0,1856.0,2624.0,77.53666666666666,2070.699666666667
2207,1664.0,1856.0,2816.0,85.75,2209.6843333333336
2208,1664.0,1856.0,3008.0,78.34555555555556,2059.2302222222224
2209,1664.0,2048.0,128.0,50.1888888888889,8040.219666666668
2210,1664.0,2048.0,320.0,52.06888888888889,4216.601555555557
2211,1664.0,2048.0,512.0,54.39333333333334,3321.7531111111116
2212,1664.0,2048.0,704.0,56.233333333333334,2864.5948888888884
2213,1664.0,2048.0,896.0,56.93444444444445,2559.010222222222
2214,1664.0,2048.0,1088.0,59.473333333333336,2449.855
2215,1664.0,2048.0,1280.0,59.01555555555556,2254.9177777777772
2216,1664.0,2048.0,1472.0,62.482222222222234,2249.5263333333332
